name,active,path,description_text,price,main_image,gallery_images,tastes,similar_products,similar_product_images
KFD Premium Creatine - 500 g (Kreatyna - Monohydrat),1,Strona główna/Odżywki i suplementy/Kreatyna/Monohydrat kreatyny,,35.99,https://sklep.kfd.pl/9306-medium_default/kfd-premium-creatine-500-g-kreatyna-monohydrat.jpg,https://sklep.kfd.pl/9306-medium_default/kfd-premium-creatine-500-g-kreatyna-monohydrat.jpg,tropikalny|naturalny|ananasowy|arbuzowy|grenadynowy|kaktusowy|zielone jabłko|lemoniada|kiwi-agrest|pomarańczowo-cytrynowy|truskawkowo-poziomkowy|jabłkowo-gruszkowy|malinowo-jagodowy|ananasowo-pomarańczowy|pomarańczowo-grejpfrutowy,https://sklep.kfd.pl/kfd-premium-creatine-250-g-kreatyna-monohydrat-p-8046.html|https://sklep.kfd.pl/kfd-ashwagandha-ksm-66-90-tabl-p-8694.html|https://sklep.kfd.pl/kfd-ashwagandha-ksm-66-180-tabl-p-6549.html|https://sklep.kfd.pl/kfd-zen-szen-koreanski-panax-ginseng-120-tabl-p-6719.html|https://sklep.kfd.pl/kfd-ultra-creatine-1000-creapure-225-kaps-p-8327.html,https://sklep.kfd.pl/13776-large_default/kfd-premium-creatine-250-g-kreatyna-monohydrat.jpg|https://sklep.kfd.pl/16768-large_default/kfd-ashwagandha-ksm-66-90-tabl.jpg|https://sklep.kfd.pl/14852-large_default/kfd-ashwagandha-ksm-66-180-tabl.jpg|https://sklep.kfd.pl/9329-large_default/kfd-zen-szen-koreanski-panax-ginseng-120-tabl.jpg|https://sklep.kfd.pl/14694-large_default/kfd-ultra-creatine-1000-creapure-225-kaps.jpg
"KFD Premium WPC 82 XXL (0,9 kg) - (WPC 80) - 900 g",1,Strona główna/Odżywki i suplementy/Białko/Białko serwatkowe,,77.77,https://sklep.kfd.pl/9723-medium_default/kfd-premium-xxl-09-kg-wpc-80-900-g.jpg,https://sklep.kfd.pl/9723-medium_default/kfd-premium-xxl-09-kg-wpc-80-900-g.jpg,kokosowy|biała czekolada|banan-truskawka|solony karmel|lody waniliowe,https://sklep.kfd.pl/kfd-premium-wpc-82-700-g-bialko-p-4077.html|https://sklep.kfd.pl/kfd-premium-wpi-90-700-g-izolat-p-7155.html|https://sklep.kfd.pl/kfd-pure-wpc-82-instant-700-g-bialko-serwatkowe-naturalne-p-6867.html|https://sklep.kfd.pl/kfd-premium-x-whey-wpi-wpc-wphgold-mix-540-g-p-4397.html|https://sklep.kfd.pl/nowy-kfd-regular-wpc-80-instant-bialko-750g-p-2451.html,https://sklep.kfd.pl/9604-large_default/kfd-premium-wpc-82-700-g-bialko.jpg|https://sklep.kfd.pl/9333-large_default/kfd-premium-wpi-90-700-g-izolat.jpg|https://sklep.kfd.pl/9675-large_default/kfd-pure-wpc-82-instant-700-g-bialko-serwatkowe-naturalne.jpg|https://sklep.kfd.pl/12640-large_default/kfd-premium-x-whey-wpi-wpc-wphgold-mix-540-g.jpg|https://sklep.kfd.pl/11301-large_default/nowy-kfd-regular-wpc-80-instant-bialko-750g.jpg
